name,location_label,address,city,website,status,closed_evidence,source,artguide_address,method,extracted_date
Bard Graduate Center Gallery,Bard Graduate Center Gallery,18 West 86th St.,New York,http://bgc.bard.edu/gallery/,open,,artguide,18 West 86th Street,http:homepage,2026-08-07
Barro,New York,"25 Peck Slip, Ground Floor",New York,http://barro.cc,closed,The page displays 'Ahora CERRADO' (Now CLOSED) in the main navigation area.,artguide,"25 Peck Slip, Ground Floor",http:homepage,2026-08-07
Below Grand,52 Allen St.,52 Allen Street,New York,http://belowgrandnyc.com,unclear,,artguide,52 Allen Street,browserbase,2026-08-07
Below Grand,53 Orchard St.,53 Orchard Street,New York,http://belowgrandnyc.com,unclear,,artguide,53 Orchard Street,browserbase,2026-08-07
Benny's Video,,28 Varick Avenue,New York,http://bennysvideo.com,unclear,,artguide,28 Varick Avenue,http:homepage,2026-08-07
Bertha and Karl Leubsdorf Art Gallery,Hunter College (CUNY),"132 East 68th Street, Hunter West Building",New York,http://leubsdorfgallery.org,unclear,,artguide,"132 East 68th Street, Hunter West Building",http:/about,2026-08-07
Betty Cuningham Gallery,,41 Union Square West #923,New York,http://bettycuninghamgallery.com,unclear,,artguide,41 Union Square West #923,browserbase,2026-08-07
Bianca DAlessandro,,,New York,https://www.biancadalessandro.com/,open,,major-added,,http:homepage,2026-08-07
Bienvenu Steinberg & C,,35 Walker Street,New York,http://bsandcgallery.com,unclear,,artguide,35 Walker Street,browserbase,2026-08-07
Bill Hodges Gallery,,"529 West 20th Street, Unit #10E",New York,http://billhodgesgallery.com,unclear,,artguide,"529 West 20th Street, Unit #10E",http:homepage,2026-08-07
bitforms gallery,bitforms gallery,131 Allen St.,NYC,http://bitforms.art,open,,artguide,131 Allen Street,http:homepage,2026-08-07
bitforms gallery,New Museum,235 Bowery,New York,http://bitforms.art,open,,artguide,131 Allen Street,http:homepage,2026-08-07
Bitter,,45 Division Street,New York,http://bitter.nyc,unclear,,artguide,45 Division Street,browserbase,2026-08-07
Blade Study,,17 Pike Street,New York,http://bladestudy.net,open,,artguide,17 Pike Street,http:homepage,2026-08-07
Blank Forms,Blank Forms,468 Grand Avenue #1D / #3D,Brooklyn,http://blankforms.org,open,,artguide,"468 Grand Ave, Suites 3D & 1D",http:homepage,2026-08-07
BLANK SPACE,Chelsea,"Chelsea, New York",New York,http://blankspaceart.com,open,,artguide,"547 West 27th Street, Suite #209",http:homepage,2026-08-07
Blue Door Gallery,,Boerum Hill,New York,http://bluedoor.art,unclear,,artguide,Boerum Hill,browserbase,2026-08-07
Blum,,,New York,https://www.blum.com/us/en/,unclear,,major-added,,http:homepage,2026-08-07
Bob's Gallery,,334 Broome Street,New York,http://bobsgallery.org,unclear,,artguide,334 Broome Street,browserbase,2026-08-07
Bookstein Projects,,"39 East 78th Street, 4th Floor",New York,http://booksteinprojects.com,open,,artguide,"39 East 78th Street, 4th Floor",http:/contact,2026-08-07
Bortolami,,,New York,https://www.bortolami.com/,open,,major-added,,browserbase,2026-08-07
Bowery Gallery,Bowery Gallery,"547 West 27th St, Suite 508",New York,http://bowerygallery.org,open,,artguide,"547 West 27th Street, Suite #508",http:homepage,2026-08-07
Brackett Creek Exhibitions,New York,25 Jay Street,New York,http://brackettcreekexhibitions.com,unclear,,artguide,25 Jay Street,browserbase,2026-08-07
Brâncuși Gallery,Romanian Cultural Institute in New York,"200 East 38th Street, New York, NY 10016",New York,http://rciusa.info,open,,artguide,200 East 38th Street,http:homepage,2026-08-07
BravinLee Programs,,"526 West 26th Street, Suite #211",New York,http://bravinlee.com,unclear,,artguide,"526 West 26th Street, Suite #211",browserbase,2026-08-07
BRIC,,647 Fulton Street,New York,http://BRICartsmedia.org,unclear,,artguide,647 Fulton Street,http:homepage,2026-08-07
Brief Histories,Brief Histories,"115 Bowery, No. 201",New York,http://briefhistories.art,open,,artguide,115 Bowery,http:/contact,2026-08-07
BronxArtSpace,BronxArtSpace,"700 Manida Street, Ground Floor",Bronx,http://bronxartspace.com,open,,artguide,700 Manida Street,http:homepage,2026-08-07
Brooklyn Academy of Music (BAM),Peter Jay Sharp Building,30 Lafayette Avenue,New York,http://BAM.org,unclear,,artguide,30 Lafayette Avenue,http:homepage,2026-08-07
Brooklyn Public Library,Brooklyn Heights Library,Brooklyn Heights Library,Brooklyn,http://bklynlibrary.org/exhibitions/bebonkwe-brown-urban,open,,artguide,286 Cadman Plaza West,http:homepage,2026-08-07
Bureau,,,New York,https://bureau-inc.com/,open,,major-added,,browserbase,2026-08-07
Bureau,,112 Duane Street,New York,http://bureau-inc.com,open,,artguide,112 Duane Street,browserbase,2026-08-07
Butler Library,Rare Book & Manuscript Library,"6th Floor East Butler Library, 535 West 114th St.",New York,http://library.columbia.edu/libraries/rbml.html,open,,artguide,"Columbia University, Rare Book & Manuscript Library Butler Library, 6th Floor, 535 West 114th Street",http:homepage,2026-08-07
C+C Photography Gallery,New York,"3 West 57th Street, 4th Floor, New York, NY 10019",New York,http://candcgallery.com,open,,artguide,"3 West 57th Street, 4th Floor",browserbase,2026-08-07
Canada,CANADA,60 Lispenard St,New York,https://canadanewyork.com/,open,,major-added,,http:homepage,2026-08-07
Canal Projects,,351 Canal Street,New York,http://canalprojects.org,closed,"On May 26, 2026, CANAL PROJECTS™ closed its physical doors as an exhibition space and officially entered its second phase to focus on funding and grant-making.",artguide,351 Canal Street,browserbase,2026-08-07
Carracci Art,,"368 Broadway, Suite #305",New York,http://carracciart.com,unclear,,artguide,"368 Broadway, Suite #305",browserbase,2026-08-07
carriage trade,,"277 Grand Street, 2nd Fl.",New York,http://carriagetrade.org,unclear,,artguide,"277 Grand Street, 2nd Fl.",browserbase,2026-08-07
Casey Kaplan,Casey Kaplan,121 WEST 27TH STREET,New York,http://caseykaplangallery.com,open,,artguide,121 West 27th Street,browserbase,2026-08-07
Castelli Gallery,,18 EAST 77,New York,http://castelligallery.com,open,,artguide,"24 West 40th Street, 2nd Floor",http:/about,2026-08-07
Castelli Gallery,,24 WEST 40,New York,http://castelligallery.com,open,,artguide,"24 West 40th Street, 2nd Floor",http:/about,2026-08-07
"Cecilia de Torres, Ltd.",Cecilia De Torres Ltd,134-140 Greene St.,New York,http://ceciliadetorres.com,open,,artguide,134-140 Greene Street,browserbase,2026-08-07
Center for Book Arts,,"28 West 27th St, 3rd Fl","New York, NY",http://centerforbookarts.org,open,,artguide,"28 West 27th Street, 3rd Floor",http:homepage,2026-08-07
Ceres Gallery,Ceres Gallery,"Landmark Arts Building, 547 West 27 St. Suite 201",New York,http://ceresgallery.org,open,,artguide,"547 West 27th Street, Suite #201",http:/about,2026-08-07
Ceysson & Bénétière,New York,956 Madison Avenue,New York,http://ceyssonbenetiere.com/en,open,,artguide,956 Madison Avenue,browserbase,2026-08-07
Chambers Fine Art,,"55 East 11th St, 5th Floor",New York,http://chambersfineart.com,unclear,,artguide,55 East 11th Street,browserbase,2026-08-07
Chapter NY,Chapter NY,60 Walker Street,New York,https://chapter-ny.com/,open,,major-added,,browserbase,2026-08-07
Charles Moffett,,"394 Broadway, Second Floor",New York,https://charlesmoffett.com/,open,,major-added,,http:homepage,2026-08-07
CHARMOLI CIARMOLI,,"32 E Broadway 6fl, elevator access",New York,http://charmoliciarmoli.com,unclear,,artguide,"32 E Broadway 6fl, elevator access",browserbase,2026-08-07
Chase Contemporary,,413-415 West Broadway,New York,http://chasecontemporary.com,unclear,,artguide,413-415 West Broadway,browserbase,2026-08-07
ChaShaMa 1 Brooklyn Bridge Park,,733 3rd Avenue 2nd Floor,New York,http://chashama.org,open,,artguide,1 Brooklyn Bridge Park,http:homepage,2026-08-07
Cheim & Read,,23 East 67th Street,New York,https://cheimread.com/,closed,Cheim & Read concluded it's public exhibition programming in 2023.,major-added,,http:/contact,2026-08-07
Cheim & Read,,547 West 25th Street,New York,https://cheimread.com/,closed,Cheim & Read concluded it's public exhibition programming in 2023.,major-added,,http:/contact,2026-08-07
Chelsea Walls,,231 Tenth Avenue,New York,http://chelseawalls.com,open,,artguide,231 Tenth Avenue,browserbase,2026-08-07
Cherkovski,,86 South 8th Street,New York,http://cherkovski.com,unclear,,artguide,86 South 8th Street,browserbase,2026-08-07
Chinatown Soup,Chinatown Soup,16B Orchard Street,New York,http://chinatownsoup.nyc,open,,artguide,16B Orchard Street,http:homepage,2026-08-07
Chorus Projects,,59 Jefferson Street,New York,http://chorusprojects.com,unclear,,artguide,59 Jefferson Street,browserbase,2026-08-07
Chozick Family Art Gallery,Chozick Family Art Gallery,"370 Broadway, 2nd Floor",New York,http://chozickfamilyartgallery.com,open,,artguide,"370 Broadway, 2nd Floor",http:/about,2026-08-07
Cierah,,"110 Suffolk St, Apt #1A",New York,http://cierah.com,unclear,,artguide,"110 Suffolk St, Apt #1A",browserbase,2026-08-07
Cindy Rucker Gallery,,143B Orchard Street,New York,http://cindyruckergallery.com,unclear,,artguide,143B Orchard Street,browserbase,2026-08-07
Citygroup,,104B Forsyth Street,New York,http://citygroup.nyc,unclear,,artguide,104B Forsyth Street,browserbase,2026-08-07
Clearing,,,New York,https://clearing.com/,unclear,,major-added,,http:homepage,2026-08-07
CLEARSKY,New York,925 Bergen Street,New York,http://clearsky.art,unclear,,artguide,925 Bergen Street,browserbase,2026-08-07
COLNAGHI,New York,"23 East 67th Street, 4th Floor",New York,http://colnaghi.com,unclear,,artguide,"23 East 67th Street, 4th Floor",http:homepage,2026-08-07
Company Gallery,,,New York,https://www.company.com/,unclear,,major-added,,browserbase,2026-08-07
COMPANY Gallery,Visit,145 Elizabeth Street,"New York, New York 10012",http://companygallery.us,open,,artguide,145 Elizabeth Street,browserbase,2026-08-07
COMPANY Gallery,Mailing Address,356 Broome Street,"New York, New York 10013",http://companygallery.us,open,,artguide,145 Elizabeth Street,browserbase,2026-08-07
Contact Photo,,51 Porter Ave,Brooklyn,http://contactphoto.org/exhibitions,open,,artguide,51 Porter Avenue,http:homepage,2026-08-07
Court Tree Collective,Court Tree Collective,"51 35th Street, BLD #5 2nd FL, Suite B236","Brooklyn, NY 11232",http://courttree.com,open,,artguide,"51 35th Street, BLD #5, 2nd Floor",http:homepage,2026-08-07
Court Tree Collective,Future Fair,535 W 28th St,New York City,http://courttree.com,open,,artguide,"51 35th Street, BLD #5, 2nd Floor",http:homepage,2026-08-07
Craig Starr Gallery,Craig Starr Gallery,5 East 73rd Street,New York,https://www.craigstarr.com/,open,,major-added,,browserbase,2026-08-07
Creative Time,CTHQ,"59 East 4th Street, 6th Floor",New York,http://creativetime.org,open,,artguide,Multiple Locations,http:homepage,2026-08-07
Crossing Art,Crossing Art,559 West 23rd Street,New York,http://crossingart.com,open,,artguide,559 West 23rd Street,http:homepage,2026-08-07
CSB Fine Arts,,"81 Prospect Street, Suite 104",New York,http://csbfinearts.com,unclear,,artguide,"81 Prospect Street, Suite 104",http:homepage,2026-08-07
Cynthia Byrnes Contemporary Art,,"508 W 26th Street, #12A PH",New York,http://cynthiabyrnes.com,unclear,,artguide,"508 W 26th Street, #12A PH",http:homepage,2026-08-07
D Lan Galleries,New York/Lenapehoking,25 East 73rd St NY 10021 USA,New York,http://dlangalleries.com,open,,artguide,"25 East 73rd Street, 4th Floor",http:homepage,2026-08-07
D. D. D. D.,,"79 Leonard Street, SBE",New York,http://dddd.pictures,unclear,,artguide,"79 Leonard Street, SBE",http:homepage,2026-08-07
DAG,New York,"1 Rockefeller Plaza, 11th Floor",New York,http://dagworld.com,unclear,,artguide,"1 Rockefeller Plaza, 11th Floor",browserbase-failed,2026-08-07
Dan Yoshii Gallery,Chinatown,54 Henry Street,New York,http://danyoshii.com,open,,artguide,54 Henry Street,http:/about,2026-08-07
Dan Yoshii Gallery,Upper East Side,833 Madison Avenue,New York,http://danyoshii.com,open,,artguide,54 Henry Street,http:/about,2026-08-07
Danspace Project,St. Mark's Church,131 East 10th St.,"New York, NY 10003",http://danspaceproject.org,open,,artguide,"131 East 10th Street, St Mark’s Church",http:homepage,2026-08-07
Danziger Gallery,,"952 5th Ave, 2nd Floor",New York,http://danzigergallery.com,open,,artguide,952 5th Avenue 2nd Floor,http:homepage,2026-08-07
Dashwood Projects,Dashwood Projects,63 East 4th Street,New York,http://dashwoodprojects.com,open,,artguide,63 E 4th Street,http:homepage,2026-08-07
David Benrimon Fine Art,,"The Fuller Building | 41 East 57th Street, 2nd Floor",New York,http://davidbenrimon.com,open,,artguide,"41 East 57th Street, 2nd Floor, The Fuller Building",browserbase,2026-08-07
David Krut Projects,New York,"526 West 26th Street, 8th Floor, Suite 816",New York,http://davidkrutprojects.com,open,,artguide,"526 West 26th Street, 8th Floor, Suite 816",browserbase,2026-08-07
David Nolan Gallery,,"24 EAST 81ST STREET, NEW YORK, NY 10028",New York,http://davidnolangallery.com,open,,artguide,"24 East 81st Street, 4th Floor",http:homepage,2026-08-07
David Peter Francis,,35 East Broadway #3F,New York,http://davidpeterfrancis.com,open,,artguide,35 East Broadway #3F,browserbase,2026-08-07
David Richard Gallery,Chelsea 5C,"508 West 26th Street, Suite #5C",New York,http://davidrichardgallery.com,unclear,,artguide,"508 West 26th Street, Suite #5C",http:homepage,2026-08-07
David Richard Gallery,Chelsea 9F,"508 West 26th Street, Suite #9F",New York,http://davidrichardgallery.com,unclear,,artguide,"508 West 26th Street, Suite #9F",http:homepage,2026-08-07
David Richard Gallery,Chelsea 209,"526 West 26th Street, Suite #209",New York,http://davidrichardgallery.com,unclear,,artguide,"526 West 26th Street, Suite #209",http:homepage,2026-08-07
David Richard Gallery,Chelsea 311,"526 West 26th Street, Suite #311",New York,http://davidrichardgallery.com,unclear,,artguide,"526 West 26th Street, Suite #311",http:homepage,2026-08-07
David Zwirner,New York: 19th Street,"519, 525 & 533 West 19th Street",New York,http://davidzwirner.com,open,,artguide,525 West 19th Street,http:homepage,2026-08-07
David Zwirner,New York: Tribeca,52 Walker Street,New York,http://davidzwirner.com,open,,artguide,525 West 19th Street,http:homepage,2026-08-07
David Zwirner,New York: 20th Street,537 West 20th Street,New York,http://davidzwirner.com,open,,artguide,525 West 19th Street,http:homepage,2026-08-07
DC Moore Gallery,,535 West 22nd Street,New York,http://dcmooregallery.com,open,,artguide,"535 West 22nd Street, 2nd Floor",http:/contact,2026-08-07
De Buck Gallery,De Buck Gallery,New York,New York,http://debuckgallery.com,open,,artguide,507 West 27th Street,http:homepage,2026-08-07
Deborah Bell Photographs,,"526 West 26th Street, Room 411 (between Tenth and Eleventh Avenues)",New York,http://deborahbellphotographs.com,open,,artguide,"526 West 26th Street, Room 411",browserbase,2026-08-07
Deli Gallery,,,New York,https://deli.gallery/,unclear,,major-added,,browserbase,2026-08-07
Denise Bibro Fine Art,"McGuire Hall, St. Joseph's Church in Greenwich Village",371 6th Ave,"New York, NY",http://denisebibrofineart.com,open,,artguide,Online exhibitions,http:homepage,2026-08-07
Derek Eller Gallery,,"38 Walker Street, Ground Floor",New York,https://www.derekeller.com/,open,,major-added,,browserbase,2026-08-07
Dernier Cri,Dernier Cri,247 E 60th Street,"New York, NY 10022",http://derniercrinyc.com,open,,artguide,"247 E 60th Street, 2nd Fl.",http:homepage,2026-08-07
Derosia,,"197 Grand St, 2W",New York,http://derosia.nyc,open,,artguide,"197 Grand Street, Unit #2W",browserbase,2026-08-07
Desnivel,DESNIVEL at Breeze Nail + Spa,62 2nd Avenue,"New York, NY 10003",http://desnivelgallery.com,open,,artguide,62 2nd Avenue,http:/info,2026-08-07
Deutsches Haus,New York University (NYU),42 Washington Mews (corner of University Place),New York,http://as.nyu.edu/deutscheshaus.html,unclear,,artguide,42 Washington Mews (corner of University Place),browserbase,2026-08-07
DI DONNA,,744 MADISON AVENUE,NEW YORK,http://didonna.com,open,,artguide,744 Madison Avenue,http:homepage,2026-08-07
Di Donna Galleries,,744 MADISON AVENUE,NEW YORK,https://didonna.com/,open,,major-added,,http:homepage,2026-08-07
